GarageArea,KitchenQual,YearBuilt,YearRemodAdd,TotalSF
240,TA,1934,1995,2375.0
432,Gd,2006,2007,2028.0
216,TA,1906,1995,2225.0
400,TA,2000,2000,1814.0
495,TA,1953,1953,2188.0
758,Gd,2005,2006,3640.0
576,TA,1949,2006,1596.0
528,Gd,1985,1985,2990.0
603,Gd,1997,1997,2304.0
572,Gd,2006,2006,2524.0
788,Ex,2006,2006,3810.0
541,Gd,1998,1999,3184.0
478,TA,1974,1974,2414.0
613,Gd,2003,2003,2770.0
300,TA,1965,1965,1793.0
280,Fa,1941,1950,1596.0
905,Gd,2001,2002,3318.0
540,Gd,1935,1986,3235.0
528,TA,1973,1973,2484.0
240,Gd,1935,1995,2457.0
434,Gd,2001,2001,2919.0
516,TA,1984,1984,2464.0
483,TA,1976,1976,2767.0
0,TA,1910,2004,1716.0
450,Gd,1967,2003,1788.0
619,Gd,1968,1984,3708.0
396,TA,1972,2003,1536.0
0,TA,1947,1950,
504,Fa,1969,1969,3120.0
576,Gd,1996,1996,2080.0
216,Gd,1926,2004,2765.0
273,TA,1885,1995,1688.0
484,TA,1957,2000,2937.0
528,Gd,1954,1954,1664.0
384,TA,1966,1966,1788.0
189,TA,1920,1950,1788.0
772,Gd,2004,2005,3683.0
288,Gd,1967,2004,1763.0
264,TA,1966,1966,1756.0
506,TA,1910,1998,3505.0
360,TA,1898,1965,2987.0
470,TA,1997,1998,2530.0
422,Gd,2006,2006,2889.0
308,TA,1975,1980,1876.0
216,Gd,1918,1998,2338.0
400,TA,1948,1950,2848.0
260,TA,1955,1955,2196.0
0,TA,1935,2003,999.0
528,Gd,1959,1959,2504.0
792,TA,1967,1967,3168.0
592,Ex,2008,2008,3004.0
506,Gd,1999,2000,3407.0
299,TA,1957,1957,2184.0
758,Ex,2006,2007,3492.0
667,TA,1953,1953,3591.0
200,TA,1926,1950,1557.0
270,TA,1959,1959,2082.0
431,Gd,2002,2002,2875.0
390,Gd,2002,2002,3277.0
180,TA,1931,1993,1590.0
364,TA,1957,2002,2742.0
714,Gd,1977,1977,3134.0
1020,Ex,2008,2009,4556.0
360,Gd,1928,2005,2067.0
368,TA,1920,2007,2453.0
521,TA,1988,1989,3211.0
286,TA,1954,1954,2064.0
440,Gd,2004,2004,2560.0
338,TA,1956,1956,2100.0
576,Gd,2003,2004,2228.0
750,Ex,1958,1991,
682,Ex,2001,2002,3186.0
318,TA,1967,1967,
264,Gd,1982,2008,1632.0
400,TA,1979,1979,1535.0
795,Gd,1918,1990,4080.0
685,Gd,2006,2006,2998.0
672,TA,1994,1995,2194.0
423,TA,1940,1985,2733.0
288,TA,1972,1972,1470.0
576,TA,1971,1971,1962.0
447,Gd,1959,1959,3098.0
308,TA,1957,1957,1632.0
622,Gd,2001,2001,2784.0
576,TA,1973,1973,3463.0
902,TA,1970,1970,2004.0
294,TA,1950,1950,
564,Gd,1992,1992,1932.0
856,Ex,2004,2005,3426.0
576,Gd,1988,1988,2804.0
923,TA,1957,1996,2148.0
648,TA,1963,1963,2104.0
608,Gd,1995,1996,3211.0
601,TA,1958,2002,2598.0
576,Gd,1997,1998,2925.0
490,TA,1954,2003,2172.0
528,Gd,1923,2004,2900.0
624,TA,1970,1970,1536.0
676,Gd,1972,2006,2542.0
647,Gd,2002,2002,3453.0
287,TA,1949,1950,
520,TA,1920,1950,4302.0
576,TA,1953,1953,1872.0
588,TA,1972,1972,2319.0
954,Gd,2007,2007,3378.0
280,TA,1954,1954,1896.0
440,Gd,2000,2000,2268.0
450,TA,1968,1968,1788.0
644,Gd,2009,2009,2752.0
290,TA,1957,1957,845.0
0,Gd,1931,2006,1318.0
666,Gd,1995,1996,5271.0
632,Gd,2007,2007,
528,TA,1969,1969,2328.0
160,TA,1930,1950,2160.0
572,TA,1948,1950,2434.0
440,Gd,2002,2002,2820.0
286,TA,1970,1970,
400,TA,1954,1954,1788.0
558,Gd,2003,2003,2932.0
270,Gd,1968,2001,2120.0
484,Gd,2004,2004,2872.0
504,Fa,1952,1952,1584.0
320,TA,1914,1970,2648.0
432,TA,1930,2007,1632.0
400,TA,2000,2000,1814.0
303,TA,1955,1993,3484.0
648,Gd,2006,2006,2856.0
312,TA,1960,1960,2200.0
264,TA,1982,1982,1632.0
308,TA,1959,1959,
842,Ex,2008,2008,4018.0
572,TA,1955,1990,1728.0
453,Gd,2005,2005,2523.0
0,TA,1971,1971,
506,Gd,1993,1993,2542.0
264,TA,1939,1950,1855.0
460,TA,1999,2000,2600.0
288,TA,1968,1968,1738.0
522,Ex,2001,2001,3541.0
416,Gd,1957,2004,
484,Gd,1976,1976,2648.0
588,TA,1959,2005,3338.0
462,TA,1980,1980,1790.0
890,Gd,2007,2007,3166.0
460,TA,1997,1997,2516.0
240,TA,1936,1950,2240.0
540,Ex,1977,1977,2252.0
264,TA,1984,1985,1799.0
205,TA,1921,1950,1232.0
0,TA,1961,1961,3600.0
505,TA,1953,1953,3010.0
621,Gd,1977,1977,3077.0
451,Gd,2005,2005,2264.0
470,Gd,1997,1997,2692.0
240,TA,1945,1950,1529.0
336,Gd,1919,1990,3251.0
457,Gd,2005,2006,2850.0
220,TA,1955,2005,2325.0
440,Gd,2000,2000,2281.0
288,TA,1965,1965,1870.0
270,Gd,1930,2005,1626.0
230,Ex,1948,2002,2904.0
514,Gd,1990,1990,3804.0
282,TA,1950,1950,2468.0
528,TA,1976,1976,2496.0
522,Ex,1968,1968,4220.0
684,Gd,1997,1997,2610.0
336,TA,1977,1977,2232.0
256,Gd,1954,1954,2198.0
380,Gd,2004,2004,2684.0
440,Gd,1962,1981,2646.0
520,TA,1900,1970,3368.0
493,Gd,1994,1995,2823.0
506,TA,1962,1980,2214.0
573,Gd,2001,2001,2424.0
672,Ex,1925,2007,2500.0
384,TA,1967,1967,
470,Ex,1956,2004,
384,TA,1966,1966,2112.0
484,Gd,2007,2007,2468.0
440,TA,1970,1970,1932.0
0,Fa,1920,1950,1725.0
576,TA,1982,1982,1716.0
736,Ex,2005,2006,3499.0
414,Gd,1953,1996,1015.0
442,TA,1964,1964,2391.0
400,Gd,2005,2005,2244.0
630,TA,1977,1977,2020.0
582,Gd,2001,2001,2676.0
312,TA,1962,1962,2376.0
527,Gd,2002,2002,2918.0
533,Gd,1996,1997,3566.0
605,Gd,2001,2002,2843.0
0,TA,1940,1969,1992.0
504,TA,1964,1964,2184.0
625,Gd,2006,2007,1875.0
572,Gd,2004,2004,2592.0
280,TA,1975,1975,1848.0
530,Gd,1993,1993,2398.0
300,TA,1968,1968,1896.0
429,TA,1965,1965,1850.0
366,TA,1920,1950,1293.0
610,Gd,2004,2005,4046.0
487,Gd,1966,1966,3081.0
572,TA,1976,1976,2100.0
804,Ex,2001,2002,5266.0
280,TA,1922,1950,
460,TA,2000,2000,2617.0
360,TA,1928,1950,1568.0
473,TA,1977,1977,2475.0
284,TA,1956,1956,2363.0
244,TA,1954,1954,2536.0
480,Gd,2007,2008,2856.0
352,TA,1976,1976,2166.0
275,TA,1954,1954,2016.0
860,Ex,2008,2008,3252.0
673,Gd,2003,2003,2592.0
322,TA,1968,1968,2163.0
286,TA,1959,1959,2080.0
511,TA,1981,1981,3393.0
462,TA,1998,1998,
528,TA,1957,1996,2784.0
270,TA,1953,1953,1927.0
390,Gd,2005,2005,2226.0
300,TA,1969,1969,1942.0
539,TA,1976,1976,2091.0
0,TA,1975,1975,1925.0
478,Gd,2003,2003,2810.0
472,TA,2000,2000,2630.0
495,TA,1975,1975,2130.0
672,TA,1948,1950,2267.0
264,TA,1979,1979,1836.0
528,Gd,1976,2004,2874.0
440,TA,1977,1977,2138.0
441,TA,1968,1968,2283.0
510,Gd,2002,2003,2711.0
895,Gd,2006,2006,3908.0
564,Gd,1967,2007,3688.0
420,Gd,2004,2004,1696.0
400,TA,1995,1996,1858.0
260,TA,1954,2005,2112.0
484,TA,1983,1983,1766.0
564,TA,1978,1978,2064.0
338,TA,1920,1950,2038.0
480,TA,1961,1961,2470.0
719,Gd,1990,1991,2352.0
264,TA,1971,1971,1470.0
504,TA,1977,1977,1979.0
0,TA,1959,1959,2012.0
0,Fa,1912,2000,2496.0
565,Gd,2004,2004,
308,Fa,1920,1950,1920.0
660,Gd,2006,2006,3208.0
621,Gd,1970,1970,4434.0
540,Gd,1969,1969,3688.0
380,TA,1993,1994,2370.0
577,Gd,1999,2000,2947.0
529,TA,1965,1965,3285.0
338,TA,1958,1988,2872.0
578,Gd,2007,2007,2634.0
299,TA,1969,1969,2192.0
542,TA,1986,1991,2884.0
453,TA,1966,1966,2008.0
410,Gd,2005,2005,2184.0
319,TA,1957,1997,3084.0
544,Gd,2003,2003,3382.0
389,TA,1992,1993,2401.0
288,TA,1951,2000,2371.0
440,TA,1978,1978,2296.0
866,Gd,2007,2008,3420.0
463,Gd,1994,2002,3058.0
475,Gd,1976,2005,2204.0
367,TA,1998,1998,1490.0
426,Gd,2006,2006,
648,Ex,2006,2006,3087.0
308,TA,1952,1952,2128.0
753,Ex,2006,2006,3055.0
750,Gd,1990,1990,4263.0
696,Gd,1998,1998,
480,TA,1960,1960,3379.0
433,TA,1958,1958,2522.0
480,TA,1964,1999,2972.0
240,TA,1953,1953,1546.0
462,Gd,1962,2005,2856.0
546,Gd,1998,1998,2645.0
0,TA,1959,1959,2175.0
420,Gd,2003,2003,1696.0
198,TA,1937,1950,2156.0
440,TA,1999,1999,2200.0
0,Fa,1923,1958,1309.0
440,TA,1999,1999,2187.0
440,TA,1974,1974,1758.0
427,TA,1998,1998,2550.0
611,TA,1975,1981,3091.0
576,TA,1972,1972,1728.0
512,TA,1976,1994,2383.0
616,TA,1986,1986,3257.0
528,Gd,2009,2009,1836.0
288,TA,1957,1957,1856.0
0,Fa,1930,1950,1092.0
546,Ex,1925,1990,2369.0
776,TA,1968,1968,2124.0
736,Ex,2005,2005,2962.0
308,TA,1956,2000,1872.0
452,TA,1980,1980,2272.0
400,TA,1951,1951,1728.0
900,Gd,2002,2002,3308.0
576,Gd,1918,2007,2232.0
856,Gd,1999,1999,3617.0
436,Gd,1950,1995,2134.0
539,TA,1978,1978,1902.0
420,Gd,2003,2004,2931.0
486,TA,1998,1998,3034.0
