OverallQual,GrLivArea,LotArea,LotFrontage,OverallCond,TotalBsmtSF,YearBuilt
8,2524,9600,80.0,5,2524,1981
4,1374,5400,90.0,6,840,1920
7,1626,2268,36.0,5,764,2003
5,1034,10134,60.0,6,735,1940
8,1518,12677,62.0,5,1518,2003
7,1818,7758,70.04995836802665,4,1040,1931
7,1661,12137,48.0,5,1649,1998
6,1991,11275,70.04995836802665,7,854,1932
7,1482,9000,50.0,9,650,1920
8,1742,6563,70.04995836802665,5,1742,1985
5,1250,8248,45.0,7,686,1918
6,1176,6240,52.0,6,816,1934
8,1915,10041,80.0,5,908,1992
6,1595,8400,60.0,5,940,1940
6,1661,9600,80.0,6,992,1955
8,1935,8004,75.0,5,832,2009
8,1795,9742,75.0,5,1777,2002
7,1928,8200,65.0,5,847,2003
5,1159,11553,70.04995836802665,5,1051,1968
6,1456,2280,24.0,5,855,1978
7,1954,15660,70.04995836802665,9,798,1939
8,2028,11443,88.0,5,1868,2005
8,2898,15498,70.04995836802665,6,1565,1976
7,1674,7500,70.04995836802665,5,814,2000
5,974,10712,63.0,5,974,1991
8,1989,11367,90.0,5,1065,2002
7,2097,11228,59.0,5,1080,1993
7,1442,11851,99.0,5,1424,1990
5,1130,10800,60.0,6,1120,1920
7,1820,9120,60.0,6,1026,1925
6,2119,10448,70.04995836802665,6,689,1972
8,2576,12438,82.0,5,1234,2006
5,1020,6342,54.0,8,780,1875
4,1774,9600,60.0,2,1095,1900
1,904,10020,70.04995836802665,1,683,1922
7,1382,2651,70.04995836802665,5,673,2000
10,3608,22950,90.0,9,1107,1892
6,2210,9900,90.0,4,1008,1880
6,1572,10364,70.04995836802665,5,806,1995
7,1824,115149,70.04995836802665,5,1643,1971
5,1056,8450,65.0,6,1056,1968
5,1221,9738,60.0,7,784,1924
6,1362,10197,80.0,5,1362,1961
6,848,4426,70.04995836802665,5,848,2004
7,1434,8529,65.0,5,1454,2001
7,1208,6762,64.0,5,1208,2007
5,1466,10800,60.0,8,796,1936
8,1987,14303,91.0,5,1986,1994
7,2418,10542,96.0,5,1311,1993
7,1314,5063,34.0,5,1314,2007
7,1709,2522,24.0,5,970,2004
6,1218,1680,21.0,5,672,1971
6,3395,10896,60.0,7,1440,1914
5,1200,10800,60.0,5,1200,1987
5,912,7535,70.0,7,912,1958
10,4316,21535,104.0,6,2444,1994
7,1710,8450,65.0,5,856,2003
8,2374,11999,93.0,5,1181,2003
7,1564,12000,75.0,7,704,1941
5,1466,17755,134.0,4,1466,1959
6,1383,11600,80.0,5,1383,1960
5,1535,7018,64.0,5,0,1979
5,990,13568,43.0,5,990,1995
7,1646,7128,53.0,5,918,1941
6,1928,9142,69.0,8,1020,1910
7,1725,11584,80.0,6,539,1979
8,2872,10678,85.0,5,1683,1992
6,2112,11075,85.0,5,952,1969
4,1324,6000,50.0,6,672,1936
7,1200,3180,30.0,5,600,2005
5,1344,10690,59.0,7,672,1920
7,1668,11317,72.0,5,840,2003
3,1040,8544,60.0,4,0,1950
5,900,7200,60.0,7,900,1951
5,1559,8100,90.0,6,1559,1948
4,948,10215,75.0,5,864,1954
6,923,8012,50.0,5,923,1980
7,1552,10084,84.0,5,1552,2005
7,1717,9550,60.0,5,756,1915
5,1721,10335,78.0,6,1461,1968
6,987,1680,21.0,5,483,1973
6,1200,11249,105.0,5,1200,1995
5,1716,11409,60.0,4,768,1949
5,894,8450,65.0,8,894,1965
5,1771,21750,100.0,4,0,1960
7,1173,10625,85.0,6,1053,1974
5,1287,9830,70.04995836802665,7,1063,1959
4,1382,11235,75.0,5,1051,1963
7,2520,9950,82.0,5,1203,1995
6,1215,12400,66.0,7,1215,1958
8,2526,10120,92.0,5,1165,1994
7,1200,3182,30.0,5,600,2004
5,1728,9297,63.0,5,1728,1976
7,1710,10300,50.0,6,576,1921
8,2392,9452,82.0,5,1396,1997
7,1744,9453,70.04995836802665,7,996,1993
7,1665,8125,65.0,6,813,2007
7,2696,9965,77.0,5,1264,2007
4,864,9000,60.0,6,864,1971
4,672,9340,50.0,6,672,1941
5,1320,11777,96.0,6,1164,1966
6,958,4928,70.04995836802665,5,1078,1976
7,1710,12118,43.0,5,1710,2004
5,1265,9350,85.0,8,1219,1965
8,1456,3196,70.04995836802665,5,1273,2003
5,1539,6120,51.0,6,927,1936
7,1959,11070,82.0,5,1907,1988
5,1522,6000,60.0,5,1008,1926
5,1124,8335,77.0,5,0,1954
7,2090,10382,70.04995836802665,6,1107,1973
5,1214,9170,70.0,7,1214,1965
5,1779,17920,102.0,4,1763,1955
8,1629,14536,85.0,5,1616,2002
8,1554,4590,34.0,5,1554,2006
7,2236,13006,70.04995836802665,5,964,1997
4,796,3636,40.0,4,796,1922
6,1680,15576,63.0,7,840,1915
6,848,4435,37.0,5,848,2003
5,1142,4224,44.0,5,1142,1976
6,1252,13500,70.04995836802665,7,1602,1960
9,1684,8849,63.0,5,1684,2005
8,2000,10386,80.0,5,2000,2004
7,1616,8688,73.0,5,1616,2005
8,1872,11885,70.04995836802665,5,1299,2001
5,1576,6240,52.0,6,1042,1928
7,1982,11287,82.0,6,807,1989
5,988,7200,60.0,7,876,1950
8,1844,10994,88.0,5,1844,2005
6,1258,11040,80.0,7,1258,1971
8,1288,14963,38.0,5,1260,1996
8,1634,11428,98.0,5,1626,2006
6,1322,2308,24.0,5,855,1974
8,1414,9056,74.0,5,707,2004
7,1504,11883,73.0,5,1504,1996
7,1670,14859,50.0,5,1670,2006
7,2167,17542,70.04995836802665,7,1192,1974
6,1069,4043,53.0,6,1069,1977
6,1072,3675,35.0,5,547,2005
5,1572,35133,50.0,4,1572,1963
5,1869,8820,98.0,6,1088,1890
4,882,5500,55.0,6,882,1956
9,1922,14157,86.0,5,1922,2005
5,780,7200,60.0,7,780,1972
5,1601,13825,85.0,6,533,1958
7,1530,16158,124.0,5,1530,2005
5,833,8780,70.04995836802665,5,833,1985
3,1183,6000,50.0,7,649,1948
5,1040,6897,70.04995836802665,8,1040,1962
8,2828,9965,77.0,5,1466,2006
6,1252,9600,80.0,5,1032,1950
5,1246,7500,75.0,7,1246,1959
6,904,6000,50.0,7,884,1926
5,1652,10800,60.0,6,686,1915
5,1268,12144,60.0,7,832,1949
6,1913,7558,57.0,6,896,1928
7,1358,6371,44.0,5,1358,2009
6,1657,12155,70.04995836802665,3,1657,1970
6,838,10267,55.0,7,816,1918
7,2060,8755,70.04995836802665,5,992,1999
7,1626,2448,36.0,5,764,2003
6,1352,9364,80.0,7,663,1969
5,1376,9492,79.0,5,768,1941
6,1660,11988,74.0,7,715,1934
6,1412,8499,73.0,5,616,2006
6,1469,10320,60.0,7,756,1906
7,1430,9967,76.0,5,384,2000
6,1094,10452,85.0,5,1094,1953
8,1826,11302,69.0,5,1814,2005
5,924,8064,60.0,7,672,1949
8,1502,6820,70.04995836802665,5,1488,1985
6,1688,12798,79.0,5,616,1997
6,1262,7200,60.0,5,1262,2006
9,1905,11670,84.0,5,1905,2006
7,2031,11404,75.0,5,1153,1998
6,1350,10140,78.0,5,1064,1974
7,1829,9548,44.0,6,941,2003
5,965,7800,60.0,5,828,1965
4,924,12180,60.0,4,672,1941
8,2263,9240,70.04995836802665,5,1055,2001
6,2108,13728,120.0,7,1127,1935
7,1242,9600,80.0,6,1242,1973
4,1573,6120,51.0,7,884,1935
7,2035,9505,70.04995836802665,5,884,2001
6,1232,11120,70.04995836802665,6,1232,1984
7,1964,10480,80.0,6,803,1976
4,1140,8800,55.0,7,576,1910
5,894,9764,57.0,7,894,1967
6,2654,11029,70.04995836802665,7,1054,1968
5,768,7200,60.0,8,768,1972
4,912,6240,52.0,5,0,1947
5,2080,11606,70.0,5,1040,1969
5,1040,12464,82.0,5,1040,1996
6,1616,5400,40.0,7,1149,1926
4,1047,10800,60.0,7,641,1885
5,1803,13125,88.0,4,1134,1957
6,832,7227,59.0,6,832,1954
5,894,7094,99.0,5,894,1966
5,1192,6402,60.0,5,596,1920
9,1850,16033,98.0,5,1833,2004
5,899,7800,65.0,7,864,1967
5,892,9477,70.04995836802665,5,864,1966
6,2291,7200,60.0,6,1214,1910
5,2138,8100,90.0,5,849,1898
6,1604,10839,100.0,5,926,1997
7,2021,23257,168.0,5,868,2006
5,938,9200,70.04995836802665,6,938,1975
7,1426,7642,55.0,8,912,1918
5,1920,11345,95.0,5,928,1948
5,1098,7390,70.04995836802665,7,1098,1955
3,729,4130,56.0,6,270,1935
6,1252,10721,80.0,6,1252,1959
5,1584,8944,65.0,5,1584,1967
9,1506,14587,75.0,5,1498,2008
9,1709,5119,50.0,5,1698,1999
5,1092,14850,69.0,5,1092,1957
9,1746,14892,42.0,5,1746,2006
7,2287,15593,81.0,4,1304,1953
5,789,10594,55.0,5,768,1926
5,1041,9600,80.0,6,1041,1959
8,1908,14191,85.0,5,967,2002
6,2267,8068,70.04995836802665,5,1010,2002
5,875,6120,51.0,7,715,1931
5,1526,8562,68.0,6,1216,1957
6,1567,9819,70.04995836802665,5,1567,1977
9,2822,13891,107.0,5,1734,2008
7,1378,9600,60.0,9,689,1928
4,1738,12513,70.04995836802665,4,715,1920
6,2060,10029,97.0,5,1151,1988
5,1128,9000,75.0,5,936,1954
7,1720,8244,62.0,5,840,2004
5,1050,9600,80.0,6,1050,1956
6,1114,13695,66.0,5,1114,2003
5,1053,8973,69.0,7,1008,1958
8,1593,4923,41.0,5,1593,2001
5,1214,10355,70.04995836802665,5,1214,1967
5,816,6600,60.0,9,816,1982
5,1535,7018,64.0,5,0,1979
8,3112,25419,174.0,4,1360,1918
8,1919,15611,120.0,5,1079,2006
5,1097,10859,112.0,5,1097,1994
6,1750,12508,75.0,7,983,1940
6,987,1680,21.0,5,483,1972
6,981,10530,70.04995836802665,5,981,1971
5,1700,10552,70.0,5,1398,1959
5,816,7100,73.0,7,816,1957
7,1840,12420,79.0,5,944,2001
6,2521,3964,42.0,4,942,1973
5,1002,8750,70.04995836802665,6,1002,1970
4,841,8400,60.0,4,721,1950
6,996,9069,73.0,6,936,1992
8,1713,9591,76.0,5,1713,2004
6,1412,11457,130.0,5,1392,1988
6,1236,7407,90.0,7,912,1957
4,1040,25286,94.0,5,1064,1963
8,1616,5389,39.0,5,1595,1995
6,1414,11029,87.0,8,1184,1958
7,1950,7399,66.0,5,975,1997
5,1086,10200,85.0,7,1086,1954
5,1576,21384,144.0,6,1324,1923
5,768,7244,54.0,7,768,1970
6,1381,9360,78.0,7,1161,1972
8,2169,9375,70.04995836802665,5,1284,2002
3,720,6627,70.04995836802665,6,0,1949
6,2792,10440,60.0,7,1510,1920
4,936,6000,60.0,4,936,1953
4,1181,10012,90.0,5,1138,1972
7,1689,9849,83.0,6,1689,2007
4,948,8190,60.0,6,948,1954
6,1512,2117,70.04995836802665,5,756,2000
5,894,8724,109.0,5,894,1968
7,1852,8640,72.0,5,900,2009
4,845,11500,70.04995836802665,3,0,1957
3,774,4270,70.0,6,544,1931
8,3238,14720,56.0,5,2033,1995
7,1232,7314,64.0,5,1232,2007
7,1164,9600,80.0,5,1164,1969
5,1248,9439,52.0,5,912,1930
5,1687,57200,70.04995836802665,5,747,1948
6,1960,7851,70.04995836802665,5,860,2002
4,1092,2217,21.0,4,546,1970
4,894,9450,68.0,5,894,1954
7,1479,10665,72.0,5,1453,2003
5,1060,8246,70.04995836802665,8,1060,1968
7,1436,8450,65.0,5,1436,2004
5,1044,8712,66.0,5,540,1952
7,1768,10800,60.0,7,880,1914
6,816,5890,70.04995836802665,8,816,1930
7,1430,7750,70.04995836802665,5,384,2000
5,1867,10708,70.04995836802665,5,1617,1955
7,1500,4045,53.0,5,1356,2006
4,1100,12493,70.04995836802665,5,1100,1960
5,816,8314,76.0,7,816,1982
5,1328,16905,115.0,6,1350,1959
10,2296,13478,97.0,5,1722,2008
5,864,8172,60.0,7,864,1955
7,1266,7500,62.0,5,1257,2005
4,858,8125,70.04995836802665,4,858,1971
6,1710,9291,76.0,5,832,1993
4,1123,6060,50.0,5,732,1939
6,1647,7917,62.0,5,953,1999
5,874,9858,62.0,6,864,1968
8,1788,11838,70.04995836802665,5,1753,2001
6,1839,14442,110.0,7,1477,1957
5,1868,10304,70.04995836802665,7,780,1976
5,1712,8393,70.0,5,1626,1959
6,1229,1300,24.0,6,561,1980
8,1600,14230,110.0,5,1566,2007
6,1600,8773,57.0,5,916,1997
5,1344,6240,70.04995836802665,4,896,1936
5,1126,15611,70.04995836802665,6,1126,1977
5,923,6951,37.0,5,876,1984
5,616,6000,50.0,7,616,1921
5,1800,8000,80.0,4,1800,1961
6,1505,12160,128.0,4,1505,1953
5,1647,12984,80.0,6,1430,1977
4,1132,7024,60.0,5,1132,2005
6,1764,15426,65.0,5,928,1997
4,1529,8405,50.0,3,0,1945
6,2447,9638,50.0,7,804,1919
7,1504,3182,43.0,5,1346,2005
3,1163,5820,49.0,8,1162,1955
6,1525,2117,70.04995836802665,5,756,2000
5,935,13526,70.04995836802665,6,935,1965
6,813,5684,70.0,8,813,1930
5,2008,7800,78.0,8,896,1948
7,2329,11839,86.0,5,1475,1990
5,1558,13710,75.0,5,910,1950
7,1664,10140,78.0,5,832,1976
7,2110,11160,93.0,5,2110,1968
6,1786,9337,69.0,5,824,1997
5,1475,2665,41.0,6,757,1977
5,1387,6000,50.0,4,811,1954
7,1708,3363,32.0,5,976,2004
6,1734,9786,77.0,7,912,1962
5,2414,10800,60.0,4,954,1900
7,1908,8750,70.0,5,915,1994
5,1283,7763,70.0,7,931,1962
7,1212,9100,70.0,5,1212,2001
7,1548,7264,55.0,7,952,1925
5,980,9750,75.0,5,980,1967
6,1811,14115,90.0,7,1073,1956
4,1056,8900,70.04995836802665,4,1056,1966
8,1234,11049,85.0,5,1234,2007
5,1302,2016,24.0,5,630,1970
6,1406,7920,70.04995836802665,7,319,1920
5,858,7252,70.04995836802665,5,858,1982
9,2324,11924,85.0,5,1175,2005
5,910,8892,74.0,7,105,1953
6,1611,9760,80.0,6,780,1964
6,1560,11911,122.0,5,684,2005
5,2020,8400,60.0,5,0,1977
8,1338,4920,41.0,5,1338,2001
5,1188,26142,70.04995836802665,7,1188,1962
7,1459,8749,70.0,5,1459,2002
7,2260,14000,80.0,5,1306,1996
7,1430,16285,67.0,5,1413,2001
5,996,13907,63.0,6,996,1940
6,1092,8250,75.0,7,1092,1964
7,1250,4017,35.0,5,625,2006
7,1728,9313,65.0,5,864,2004
5,924,7990,88.0,6,924,1975
6,1199,7892,55.0,5,1199,1993
5,948,8978,70.04995836802665,5,948,1968
5,925,9100,70.0,6,925,1965
5,835,10625,85.0,5,458,1920
8,2466,11143,102.0,5,1580,2004
7,2157,14200,88.0,6,924,1966
5,1060,4224,44.0,7,1040,1976
10,2633,11400,70.04995836802665,5,2633,2001
5,1048,6380,58.0,6,993,1922
6,1664,8121,70.04995836802665,5,953,2000
6,784,9000,60.0,3,784,1928
6,1279,10125,75.0,6,1196,1977
4,1229,17140,70.04995836802665,6,1134,1956
5,1268,7800,78.0,6,1268,1954
7,1428,11639,95.0,5,1428,2007
6,1125,7200,72.0,6,1041,1976
5,1008,11425,70.04995836802665,6,1008,1954
8,1630,10226,61.0,5,1622,2008
6,1728,8791,64.0,5,864,2003
5,1211,8250,55.0,5,952,1968
5,1040,7560,70.0,5,1040,1959
8,1707,16669,70.04995836802665,6,1686,1981
7,1632,9084,63.0,5,935,1998
5,1392,11341,70.04995836802665,6,1392,1957
5,1319,10634,79.0,6,608,1953
6,1484,12589,149.0,5,742,2005
5,971,9920,69.0,6,971,1969
6,1062,11333,70.04995836802665,5,1029,1976
6,980,9400,35.0,5,945,1975
7,1405,3136,70.04995836802665,5,1405,2003
6,1671,10852,58.0,5,959,2000
5,1074,10140,78.0,6,1056,1975
5,2320,14762,70.04995836802665,6,0,1948
6,918,7892,55.0,5,918,1979
5,1437,10768,90.0,8,1437,1976
6,1069,4043,53.0,5,1069,1977
6,1556,11700,78.0,6,727,1968
7,1894,11316,80.0,5,817,2002
8,1973,14226,110.0,5,1935,2006
7,2978,11275,96.0,7,710,1967
6,848,4438,70.04995836802665,5,848,2004
7,1474,8530,70.04995836802665,5,384,1995
5,1056,9250,80.0,7,1056,1954
5,902,8885,70.04995836802665,5,864,1983
6,1032,10395,70.04995836802665,6,1032,1978
5,1077,8967,60.0,2,961,1920
5,1235,8500,85.0,3,1235,1961
7,1442,10357,114.0,5,910,1990
6,987,1680,21.0,5,483,1971
6,1004,10530,78.0,5,975,1977
5,1006,9000,70.04995836802665,3,1006,1959
5,1716,5687,55.0,6,780,1912
7,1720,11645,89.0,5,860,2004
4,960,6000,50.0,4,960,1920
7,1604,8814,68.0,5,1604,2006
8,2217,15865,95.0,6,2217,1970
6,1844,16381,70.04995836802665,5,1844,1969
6,1571,7837,59.0,7,799,1993
7,1479,9382,93.0,5,1468,1999
5,1786,164660,70.04995836802665,6,1499,1965
6,1632,9600,80.0,6,1240,1958
8,1768,10769,68.0,5,866,2007
5,1096,15870,70.04995836802665,5,1096,1969
7,2093,20544,46.0,6,791,1986
6,1348,7590,69.0,5,660,1966
7,1456,8199,63.0,5,728,2005
5,1600,16321,47.0,6,1484,1957
6,1700,9135,70.0,5,1682,2003
6,1593,9636,70.04995836802665,5,808,1992
5,1363,14559,75.0,7,1008,1951
6,1441,2289,24.0,6,855,1978
8,1710,13891,107.0,5,1710,2007
7,2110,8880,70.04995836802665,5,948,1994
6,1479,13517,70.04995836802665,8,725,1976
7,767,4058,34.0,5,723,1998
7,1496,17104,58.0,5,654,2006
8,1567,3982,53.0,5,1520,2006
5,1148,6420,57.0,7,980,1952
8,1970,11065,86.0,5,1085,2006
8,2810,9572,70.04995836802665,5,1453,1990
8,2630,9200,80.0,5,1470,1998
5,2274,11600,80.0,5,1105,1960
6,1261,9120,76.0,6,1261,1958
5,1486,9937,75.0,7,1486,1964
5,773,7677,57.0,5,773,1953
6,1537,8400,80.0,9,1319,1962
7,1779,10400,80.0,5,866,1998
4,1225,9320,77.0,5,950,1959
6,848,4435,36.0,5,848,2003
6,1376,8600,50.0,6,780,1937
6,1471,3230,34.0,5,729,1999
4,869,5900,51.0,7,440,1923
6,1458,3230,34.0,5,729,1999
5,894,13350,100.0,5,864,1974
7,1718,10141,74.0,5,832,1998
5,1701,16647,70.04995836802665,5,1390,1975
4,864,12735,70.04995836802665,5,864,1972
6,1855,9600,80.0,7,528,1976
6,1651,12416,47.0,5,1606,1986
6,1224,3951,40.0,5,612,2009
5,928,6000,50.0,6,928,1957
4,1092,5600,70.0,5,0,1930
7,1641,9600,60.0,7,728,1925
6,1416,11700,90.0,6,708,1968
8,1904,10927,74.0,5,1058,2005
5,936,5868,74.0,7,936,1956
6,1556,1950,24.0,6,716,1980
4,864,19138,140.0,5,864,1951
7,1654,8125,70.04995836802665,5,1654,2002
5,1416,25339,70.04995836802665,7,816,1918
8,2365,9430,82.0,5,1252,1999
4,1067,9600,60.0,7,1067,1950
6,1902,8930,68.0,5,0,1978
7,1557,3196,70.04995836802665,5,1374,2003
7,1839,16770,58.0,5,1195,1998
